Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
Balto,1995,G,22 Dec 1995,78 min,"Animation, Adventure, Drama",Simon Wells,"Cliff Ruby, Elana Lesser, David Steven Cohen","Kevin Bacon, Bob Hoskins, Bridget Fonda","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}]",N/A,7.1,"51,603",tt0112453,movie,N/A,"$11,348,324",N/A,N/A,True,
Nixon,1995,R,05 Jan 1996,192 min,"Biography, Drama, History",Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone","Anthony Hopkins, Joan Allen, Powers Boothe","A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","English, Mandarin, Russian",United States,Nominated for 4 Oscars. 11 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.0,"34,110",tt0113987,movie,N/A,"$13,681,765",N/A,N/A,True,
Cutthroat Island,1995,PG-13,22 Dec 1995,124 min,"Action, Adventure, Comedy",Renny Harlin,"Michael Frost Beckner, James Gorman, Bruce A. Evans","Geena Davis, Matthew Modine, Frank Langella",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,"English, Spanish, Latin, French","France, Italy, Germany, United States, Canada",1 nomination total,https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.7,"32,861",tt0112760,movie,N/A,"$10,017,322",N/A,N/A,True,
Casino,1995,R,22 Nov 1995,178 min,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",English,"United States, France",Nominated for 1 Oscar. 4 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,8.2,"613,907",tt0112641,movie,N/A,"$42,512,375",N/A,N/A,True,
Sense and Sensibility,1995,PG,26 Jan 1996,136 min,"Drama, Romance",Ang Lee,"Jane Austen, Emma Thompson","Emma Thompson, Kate Winslet, James Fleet","In Georgian era England, wealthy Mr. Dashwood dies leaving his second wife and three daughters destitute. The ladies move to a modest cottage where the two older daughters vie for the attention of various suitors in search of true...","English, French","United Kingdom, United States",Won 1 Oscar. 33 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BY2MyZWJhNjktMWQ2My00OTgwLWI1NjEtYjUzM2M2N2M4Mzc4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.7,"136,450",tt0114388,movie,N/A,"$43,436,071",N/A,N/A,True,
Four Rooms,1995,R,25 Dec 1995,98 min,Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez","Allison Anders, Alexandre Rockwell, Robert Rodriguez","Tim Roth, Antonio Banderas, Sammi Davis",Four interlocking tales that take place in a fading hotel on New Year's Eve.,English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,6.7,"114,641",tt0113101,movie,N/A,"$4,257,354",N/A,N/A,True,
Ace Ventura: When Nature Calls,1995,PG-13,10 Nov 1995,90 min,"Adventure, Comedy, Crime",Steve Oedekerk,"Jack Bernstein, Steve Oedekerk","Jim Carrey, Ian McNeice, Simon Callow","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",English,United States,7 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMjk3ZDUwYTMtYmQyYy00NTg1LWExOTItNTcxODM3NDZiNjMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.4,"247,519",tt0112281,movie,N/A,"$108,385,533",N/A,N/A,True,
Money Train,1995,R,22 Nov 1995,110 min,"Action, Comedy, Crime",Joseph Ruben,"Doug Richardson, David Loughery","Wesley Snipes, Woody Harrelson, Jennifer Lopez","A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BZGIzODJmMGYtMzY2My00ZGJkLTg1YzMtNmY2ZTVlYmI5YzYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}]",N/A,5.7,"44,655",tt0113845,movie,N/A,"$35,431,113",N/A,N/A,True,
Get Shorty,1995,R,20 Oct 1995,105 min,"Comedy, Crime, Thriller",Barry Sonnenfeld,"Elmore Leonard, Scott Frank","Gene Hackman, Rene Russo, Danny DeVito",A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,English,United States,6 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.9,"95,310",tt0113161,movie,N/A,"$72,101,622",N/A,N/A,True,
Copycat,1995,R,27 Oct 1995,123 min,"Drama, Mystery, Thriller",Jon Amiel,"Ann Biderman, David Madsen","Sigourney Weaver, Holly Hunter, Dermot Mulroney",A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,"English, Mandarin",United States,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.6,"79,811",tt0112722,movie,N/A,"$32,051,917",N/A,N/A,True,
Assassins,1995,R,06 Oct 1995,133 min,"Action, Crime, Thriller",Richard Donner,"Lilly Wachowski, Lana Wachowski, Brian Helgeland","Sylvester Stallone, Antonio Banderas, Julianne Moore",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"English, Dutch, Spanish","France, United States",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYjRmZDUzZTctMzkyMi00ZDY1LTk2MDgtMDI0MTM4ZTYzOWI4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",N/A,6.3,"91,947",tt0112401,movie,N/A,"$30,303,072",N/A,N/A,True,
Powder,1995,PG-13,27 Oct 1995,111 min,"Drama, Fantasy, Mystery",Victor Salva,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYzBmZjgyNWQtOWYzNS00NTg2LWJjZDktYzE4YTMzMjNiZWVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.6,"34,038",tt0114168,movie,N/A,"$30,862,156",N/A,N/A,True,
Leaving Las Vegas,1995,R,09 Feb 1996,111 min,"Drama, Romance",Mike Figgis,"John O'Brien, Mike Figgis","Nicolas Cage, Elisabeth Shue, Julian Sands","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","English, Russian, Latvian",United States,Won 1 Oscar. 32 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.5,"142,636",tt0113627,movie,N/A,"$32,029,928",N/A,N/A,True,
Othello,1995,R,19 Jan 1996,123 min,"Drama, Romance",Oliver Parker,"Oliver Parker, William Shakespeare","Laurence Fishburne, Kenneth Branagh, Irène Jacob","The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",English,"United Kingdom, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BMzJkMzdmMjMtOGVmNC00NTI4LWJjNTMtNGE4ZGMzYjU1ZDk5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}]",N/A,6.8,"10,351",tt0114057,movie,N/A,"$2,844,379",N/A,N/A,True,
Now and Then,1995,PG-13,20 Oct 1995,102 min,"Comedy, Drama, Romance",Lesli Linka Glatter,I. Marlene King,"Christina Ricci, Demi Moore, Rosie O'Donnell",Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at twelve years could possibly have become the women they are now.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BZWE5NTgyM2QtZjE0Ni00YTNkLTlmMGItNTRlY2ZhMmIyMDdhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.8,"34,719",tt0114011,movie,N/A,"$27,112,329",N/A,N/A,True,
Persuasion,2022,PG,15 Jul 2022,108 min,"Drama, Romance",Carrie Cracknell,"Ron Bass, Alice Victoria Winslow, Jane Austen","Richard E. Grant, Henry Golding, Ben Bailey Smith","Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMjNiOTQ0ZTktZTcxYy00MGYwLWJjN2UtNWRlOGE4ZWUzNjQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.8,"37,238",tt13456318,movie,N/A,N/A,N/A,N/A,True,
The City of Lost Children,1995,R,15 Dec 1995,112 min,"Adventure, Drama, Fantasy","Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet, Marc Caro","Ron Perlman, Daniel Emilfork, Judith Vittet","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","French, Cantonese","France, Germany, Spain, Belgium",5 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTc5YWUxOGUtYWQ2OC00ZTMyLWI5MTktNjNkZjNmZTA1OWYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.4,"74,276",tt0112682,movie,N/A,"$1,738,611",N/A,N/A,True,
Shanghai Triad,1995,R,22 Dec 1995,108 min,"Crime, Drama, History",Yimou Zhang,"Feiyu Bi, Bin Wang, Li Xiao","Gong Li, Baotian Li, Xiaoxiao Wang",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Mandarin,"France, China",Nominated for 1 Oscar. 5 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjExNzU2NDctYTQ4My00MmFkLTljN2UtN2MzYWQ1NTFiNDEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.1,"6,218",tt0115012,movie,N/A,"$2,086,101",N/A,N/A,True,
Dangerous Minds,1995,R,11 Aug 1995,99 min,"Biography, Drama",John N. Smith,"LouAnne Johnson, Ron Bass","Michelle Pfeiffer, George Dzundza, Courtney B. Vance","LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",English,United States,6 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BODc5ZDI2ZDYtYjZiMy00MzZjLWEwNWUtNTljNDEwYWQ3YjQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.5,"59,521",tt0112792,movie,N/A,"$84,919,401",N/A,N/A,True,
The Hamster Factor and Other Tales of Twelve Monkeys,1996,N/A,01 Nov 1996,88 min,Documentary,"Keith Fulton, Louis Pepe","Keith Fulton, Louis Pepe","Keith Fulton, Terry Gilliam, Charles Roven, Lloyd Phillips","A documentary following Terry Gilliam through the creation of ""12 Monkeys"" (1995)",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTAxNzY1NTktNjA1Zi00MjJjLThkMTgtNTM0NTI1NWIzNDQ3XkEyXkFqcGdeQXVyODAyNDE3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,996,tt0116479,movie,N/A,N/A,N/A,N/A,True,
Wings of Courage,1995,G,18 Sep 1996,40 min,"Adventure, Romance",Jean-Jacques Annaud,"Alain Godard, Jean-Jacques Annaud","Craig Sheffer, Elizabeth McGovern, Tom Hulce","While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",English,"France, United States",N/A,https://m.media-amazon.com/images/M/MV5BNWUxZTNhYjAtYjU3MS00Yzg4LWFlMzYtMTM1ZjQxMGJlMTUxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,757,tt0114952,movie,N/A,"$15,054,636",N/A,N/A,True,
Babe,1995,G,04 Aug 1995,91 min,"Comedy, Drama, Family",Chris Noonan,"Dick King-Smith, George Miller, Chris Noonan","James Cromwell, Magda Szubanski, Christine Cavanaugh","Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...",English,"Australia, United States, United Kingdom",Won 1 Oscar. 20 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BODYxZWZiMTgtMjJhOC00OTE1LTk0MmQtMGFiOGY3ZTAwZGRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,6.9,"141,471",tt0112431,movie,N/A,"$63,658,910",N/A,N/A,True,
Carrington,1995,R,10 Nov 1995,121 min,"Biography, Drama, Romance",Christopher Hampton,"Christopher Hampton, Michael Holroyd","Emma Thompson, Jonathan Pryce, Steven Waddington",The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early twentieth century.,English,"United Kingdom, France",Nominated for 2 BAFTA 7 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BYWQyMDA5MTctODk1ZS00MjkxLTk1NjktYzllODVkNDYxMGE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",N/A,6.8,"5,976",tt0112637,movie,N/A,"$3,242,342",N/A,N/A,True,
